Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102916","housing benefit claimants 2010.",25/10/2010 00:00:00,22/11/2010 00:00:00,20,"Partial information provided, rest not held","Payments & Benefits (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102918","Informatiion about schools and religious morning assemblies.",25/10/2010 00:00:00,03/11/2010 00:00:00,7,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102917","information re outsourced services",25/10/2010 00:00:00,01/11/2010 00:00:00,5,"Refused","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102919","Information regarding road salt",25/10/2010 00:00:00,15/11/2010 00:00:00,15,"Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102914","carbon emissions specifically associated with the provision of internal ICT / IT services.",25/10/2010 00:00:00,17/11/2010 00:00:00,17,"Information not held","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102915","number of children taken into care 2000 - 2010",25/10/2010 00:00:00,18/11/2010 00:00:00,18,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102920","Information on horse passports",26/10/2010 00:00:00,23/11/2010 00:00:00,20,"Information Provided","Community Safety (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102921","Information on Redbridge school census",27/10/2010 00:00:00,22/11/2010 00:00:00,18,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102923","information regarding changes to local authority funding for the voluntary sector.",28/10/2010 00:00:00,24/11/2010 00:00:00,19,"Information Provided","Strategic Services (Customer Service & Performance)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102924","how much did Redbridge spend on translation services in The last financial year.",28/10/2010 00:00:00,01/11/2010 00:00:00,2,"Information Provided","Payments & Benefits (Housing & Community Services)"
